All,SourceCountry,SourceCity,SourceAirport,DestCountry,DestCity,DestAirport,AirlineName,Sum of Flights
All Countries,China,Others,Others,China,Others,Dali Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Dali Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Tengchong Tuofeng Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Jiuzhai Huanglong Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Jiuzhai Huanglong Airport,Air China,1
All Countries,China,Others,Others,China,Others,Xilinhot Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Xilinhot Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Diqing Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Jixi Xingkaihu Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Jixi Xingkaihu Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Datong Airport,China Southern Airlines,2
All Countries,China,Others,Others,China,Others,Jiayuguan Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Yichang Sanxia Airport,China Southern Airlines,2
All Countries,China,Others,Others,China,Others,Shubuling Airport,Shenzhen Airlines,1
All Countries,China,Others,Others,China,Others,Shubuling Airport,Air China,1
All Countries,China,Others,Others,China,Others,Xiangyang Liuji Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Xiangyang Liuji Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Saertu Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Saertu Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Lindu Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Lindu Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Mudanjiang Hailang International Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Mudanjiang Hailang International Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Jiamusi Airport,Hainan Airlines,1
All Countries,China,Others,Others,China,Others,Jiamusi Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Luoyang Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Luoyang Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Zunyi Xinzhou Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Aksu Airport,Hainan Airlines,1
All Countries,China,Others,Others,China,Others,Aksu Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Mianyang Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Mianyang Airport,Air China,1
All Countries,China,Others,Others,China,Others,Zhangjiakou Ningyuan Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Shanhaiguan Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Jiuhuashan Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Meixian Airport,China Southern Airlines,1
All Countries,China,Others,Others,China,Others,Liping Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Jiujiang Lushan Airport,Air China,1
